STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/14/1948,0,0,0,,71,34,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/15/1948,0,0,0,,74,45,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/16/1948,0,0,0,,74,43,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/17/1948,0,0,0,,81,45,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/18/1948,0,0,0,,80,46,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/19/1948,0,0,0,,66,34,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/20/1948,0,0,0,,69,32,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/21/1948,0,0,0,,74,44,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/22/1948,0,0,0,,74,43,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/23/1948,0,0,0,,68,43,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/24/1948,2.4,4.2,4,,45,32,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/25/1948,0,0,0,,58,32,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/26/1948,0,0,0,,55,33,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/27/1948,0,0,0,,66,33,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/28/1948,0,0,0,,76,41,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/29/1948,0,0,0,,83,51,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/30/1948,0,0,0,,70,43,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/1/1948,0.01,0,0,,58,42,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/2/1948,0,0,0,,61,41,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/3/1948,0,0,0,,60,37,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/4/1948,0,0,0,,70,40,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/5/1948,0,0,0,,57,33,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/6/1948,0,0,0,,70,31,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/7/1948,0,0,0,,82,45,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/8/1948,0,0,0,,78,45,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/9/1948,0.11,0,0,,52,33,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/10/1948,0.36,0,0,,56,31,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/11/1948,0.13,0,0,,50,35,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/12/1948,0.01,0,0,,59,33,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/13/1948,0,0,0,,77,38,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/14/1948,0,0,0,,84,51,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/15/1948,0,0,0,,78,46,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/16/1948,0,0,0,,79,43,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/17/1948,0,0,0,,88,51,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/18/1948,0,0,0,,85,54,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/19/1948,0.05,0,0,,83,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/20/1948,0.01,0,0,,85,57,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/21/1948,0,0,0,,80,55,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/22/1948,0,0,0,,86,47,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/23/1948,0.04,0,0,,79,50,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/24/1948,0,0,0,,70,50,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/25/1948,0.04,0,0,,68,50,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/26/1948,0,0,0,,72,45,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/27/1948,0,0,0,,74,47,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/28/1948,0.03,0,0,,74,51,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/29/1948,0,0,0,,75,46,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/30/1948,1.02,0,0,,77,52,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,5/31/1948,0.03,0,0,,80,54,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/1/1948,0,0,0,,78,52,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/2/1948,0,0,0,,85,52,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/3/1948,0,0,0,,85,59,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/4/1948,0,0,0,,84,52,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/5/1948,0,0,0,,84,51,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/6/1948,0,0,0,,87,53,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/7/1948,0,0,0,,82,61,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/8/1948,0,0,0,,81,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/9/1948,0,0,0,,88,59,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/10/1948,0.01,0,0,,84,56,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/11/1948,0,0,0,,83,61,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/12/1948,0.23,0,0,,77,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/13/1948,0,0,0,,88,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/14/1948,0,0,0,,87,54,
