STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/4/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/5/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/6/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/7/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/8/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/12/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/13/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/14/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/15/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/16/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/17/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/18/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/19/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/20/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/21/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/22/46,,,,,51.1,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/23/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/25/46,,,,,88.4,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/26/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/27/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/28/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9/29/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/1/46,,,,,7.9,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/2/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/3/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/4/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/5/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/6/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/7/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/8/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/9/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/10/46,,,,,0.3,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/11/46,,,,,0.8,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/12/46,,,,,7.6,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/13/46,,,,,27.9,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/14/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/15/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/16/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/17/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/18/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/19/46,,,,,5.1,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/20/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/21/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/22/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/23/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/24/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/25/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/26/46,,,,,2.8,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/27/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/28/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/29/46,,,,,3,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/30/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10/31/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/1/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/2/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/3/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/4/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/5/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/6/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/7/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/8/46,,,,,3.8,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/9/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/10/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/11/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/12/46,,,,,7.6,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/13/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/14/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/15/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/16/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/17/46,,,,,5.1,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/18/46,,,,,11.4,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/19/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/20/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/21/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/22/46,,,,,5.1,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/23/46,,,,,15.2,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/24/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/25/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/26/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/27/46,,,,,3.3,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/28/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/29/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11/30/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/1/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/2/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/3/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/4/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/5/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/6/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/7/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/8/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/9/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/10/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/11/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/12/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/13/46,,,,,3,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/14/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/15/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/16/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/17/46,,,,,1.3,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/18/46,,,,,3,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/19/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/20/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/21/46,,,,,19.1,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/22/46,,,,,19.3,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/23/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/24/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/25/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12/26/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/1/47,,,,,,89,0,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/2/47,,,,,3.3,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/3/47,,,,,3.3,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/4/47,,,,,9.7,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/5/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/6/47,,,,,,102,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/7/47,,,,,0,,,,
