"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"11/07/1981","175","CO","","41-051-0075","AQS","175","19","64",".","."
"11/08/1981","198","CO","","41-051-0075","AQS","198","11","60",".","."
"11/09/1981","75","CO","","41-051-1002","AQS","75","15","66",".","."
"11/10/1981","104","CO","","41-051-1002","AQS","104","9","31",".","."
"11/11/1981","99","CO","","41-051-1002","AQS","99","31","50",".","."
"11/12/1981","94","CO","","41-051-1002","AQS","94","30","21",".","."
"11/13/1981","68","CO","","41-051-1002","AQS","68","28","17",".","."
"11/14/1981","41","CO","","41-051-1002","AQS","41",".","11",".","."
"11/15/1981","32","CO","","41-051-0075","AQS","32",".","13",".","."
"11/16/1981","75","CO","","41-051-0075","AQS","75","26","47",".","."
"11/17/1981","61","CO","","41-051-1002","AQS","61","32","19",".","."
"11/18/1981","87","CO","","41-051-1002","AQS","87","28","16",".","."
"11/19/1981","125","CO","","41-051-1002","AQS","125","23","23",".","."
"11/20/1981","111","CO","","41-051-1002","AQS","111","24","36",".","."
"11/21/1981","82","CO","","41-051-1002","AQS","82","31","14",".","."
"11/22/1981","54","CO","","41-051-1002","AQS","54","30","13",".","."
"11/23/1981","57","CO","","41-051-1002","AQS","57","27","29",".","."
"11/24/1981","77","CO","","53-011-0008","AQS","77","26","64",".","."
"11/25/1981","85","CO","","41-051-1002","AQS","85","26","33",".","."
"11/26/1981","51","CO","","41-051-1002","AQS","51","24","27",".","."
"11/27/1981","106","SO2","","41-051-0074","AQS","54","25","106",".","."
"11/28/1981","65","SO2","","41-051-0015","AQS","55","19","65",".","."
"11/29/1981","55","CO","","41-051-1002","AQS","55","26","41",".","."
"11/30/1981","82","CO","","41-051-1002","AQS","82","29","9",".","."
"12/01/1981","78","CO","","41-051-1002","AQS","78","29","11",".","."
"12/02/1981","103","CO","","41-051-0075","AQS","103","31","46",".","."
"12/03/1981","97","CO","","41-051-0075","AQS","97","16","49",".","."
"12/04/1981","145","CO","","41-051-1002","AQS","145","29","23",".","."
"12/05/1981","97","CO","","41-051-1002","AQS","97","32","6",".","."
"12/06/1981","55","CO","","41-051-1002","AQS","55","32","4",".","."
"12/07/1981","81","CO","","41-051-0075","AQS","81","28","19",".","."
"12/08/1981","86","SO2","","41-051-0074","AQS","71","6","86",".","."
"12/09/1981","103","CO","","41-051-1002","AQS","103","32","17",".","."
"12/10/1981","79","CO","","41-051-1002","AQS","79","32","7",".","."
"12/11/1981","81","CO","","41-051-0075","AQS","81","6","27",".","."
"12/12/1981","53","CO","","41-051-0075","AQS","53","16","51",".","."
"12/13/1981","42","CO","","41-051-1002","AQS","42","9","17",".","."
"12/14/1981","84","CO","","41-051-1002","AQS","84","26","43",".","."
"12/15/1981","62","CO","","41-051-1002","AQS","62","32","20",".","."
"12/16/1981","64","CO","","41-051-0075","AQS","64","18","29",".","."
"12/17/1981","53","CO","","41-051-1002","AQS","53","7","10",".","."
"12/18/1981","72","CO","","41-051-1002","AQS","72","17","10",".","."
"12/19/1981","65","CO","","41-051-0075","AQS","65","31","27",".","."
"12/20/1981","82","SO2","","41-051-0074","AQS","67","21","82",".","."
"12/21/1981","76","SO2","","41-051-0074","AQS","54","20","76",".","."
"12/22/1981","85","CO","","41-051-1002","AQS","85","20","24",".","."
"12/23/1981","101","CO","","41-051-0075","AQS","101","19","79",".","."
"12/24/1981","61","CO","","41-051-0075","AQS","61","20","21",".","."
"12/25/1981","33","CO","","41-051-0075","AQS","33","14","14",".","."
"12/26/1981","99","SO2","","41-051-0074","AQS","35","19","99",".","."
"12/27/1981","28","CO","","41-051-1002","AQS","28","19","10",".","."
"12/28/1981","76","CO","","41-051-1002","AQS","76","27","26",".","."
"12/29/1981","114","SO2","","41-051-0074","AQS","68","18","114",".","."
"12/30/1981","72","CO","","41-051-1002","AQS","72","2","31",".","."
"12/31/1981","96","CO","","41-051-1002","AQS","96","19","27",".","."
