"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"02/21/1983","50","CO","","41-051-0075","AQS","50","9","20",".","."
"02/22/1983","74","CO","","41-051-0075","AQS","74","7","23",".","."
"02/23/1983","62","CO","","41-051-0078","AQS","62","19","26","25","."
"02/24/1983","66","CO","","41-051-1002","AQS","66","23","13",".","."
"02/25/1983","53","CO","","41-051-1002","AQS","53","31","17",".","."
"02/26/1983","41","CO","","41-051-0075","AQS","41","31","19",".","."
"02/27/1983","47","CO","","41-051-0075","AQS","47","17","24",".","."
"02/28/1983","62","CO","","41-051-0075","AQS","62","19","23",".","."
"03/01/1983","72","CO","","41-051-0075","AQS","72","10","20","54","."
"03/02/1983","77","CO","","41-051-0078","AQS","77","12","16",".","."
"03/03/1983","67","CO","","41-051-0078","AQS","67","14","31",".","."
"03/04/1983","53","CO","","41-051-1002","AQS","53","21","7",".","."
"03/05/1983","40","CO","","41-051-1002","AQS","40","28","1",".","."
"03/06/1983","33","PM10","Portland - SE Lafayette","41-051-0080","AQS","31","21","1","33","."
"03/07/1983","57","CO","","41-051-1002","AQS","57","23","1","13","."
"03/08/1983","72","CO","","41-051-0075","AQS","72","18","9",".","."
"03/09/1983","66","CO","","41-051-0075","AQS","66","30","1",".","."
"03/10/1983","41","CO","","41-051-0078","AQS","41","33","1",".","."
"03/11/1983","69","CO","","41-051-0075","AQS","69","23","10",".","."
"03/12/1983","59","CO","","41-051-0075","AQS","59","30","23",".","."
"03/13/1983","37","Ozone","","41-005-2001","AQS","34","37","13","7","."
"03/14/1983","48","CO","","41-051-1002","AQS","48","28","16",".","."
"03/15/1983","55","CO","","41-051-0078","AQS","55","26","29",".","."
"03/16/1983","51","CO","","41-051-0078","AQS","51","28","7",".","."
"03/17/1983","56","CO","","41-051-0078","AQS","56","27","39",".","."
"03/18/1983","65","CO","","41-051-0078","AQS","65","27","47",".","."
"03/19/1983","70","PM10","Portland - SE Lafayette","41-051-0080","AQS","59","31","40","70","."
"03/20/1983","67","CO","Portland - SE Lafayette","41-051-0080","AQS","67","25","34",".","."
"03/21/1983","50","CO","","41-051-1002","AQS","50","21","30",".","."
"03/22/1983","62","CO","","41-051-1002","AQS","62","30","13",".","."
"03/23/1983","48","CO","","41-051-1002","AQS","48","31","19",".","."
"03/24/1983","53","CO","","41-051-0078","AQS","53","28","19",".","."
"03/25/1983","69","CO","","41-051-1002","AQS","69","28","11","29","."
"03/26/1983","43","CO","","41-051-0075","AQS","43","29","19",".","."
"03/27/1983","33","CO","","41-051-1002","AQS","33","30","7",".","."
"03/28/1983","52","CO","","41-051-1002","AQS","52","26","11",".","."
"03/29/1983","52","CO","","41-051-1002","AQS","52","34","20",".","."
"03/30/1983","50","CO","","41-051-1002","AQS","50","31","10",".","."
"03/31/1983","40","CO","","41-051-0078","AQS","40","25","13","21","."
"04/01/1983","79","CO","","41-051-1002","AQS","79","27","17",".","."
"04/02/1983","34","CO","","41-051-1002","AQS","34","30","6",".","."
"04/03/1983","29","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20","29","14",".","."
"04/04/1983","60","CO","","41-051-0078","AQS","60","25","41",".","."
"04/05/1983","69","CO","","41-051-0075","AQS","69","31","34",".","."
"04/06/1983","67","CO","","41-051-0075","AQS","67","32","37","57","."
"04/07/1983","43","CO","","41-051-0078","AQS","43","31","20",".","."
"04/08/1983","51","CO","","41-051-0078","AQS","51","30","20",".","."
"04/09/1983","35","CO","","41-051-0078","AQS","35","31","11",".","."
"04/10/1983","31","Ozone","","41-005-2001","AQS","30","31","6",".","."
"04/11/1983","49","CO","","41-051-0078","AQS","49","26","19",".","."
"04/12/1983","57","PM10","","41-051-0015","AQS","55","25","27","57","."
"04/13/1983","61","CO","","41-051-0078","AQS","61","33","46",".","."
