"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"08/24/2001","32","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","19","32",".","32","27"
"08/25/2001","41","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","23","41",".","40","25"
"08/26/2001","80","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","80",".","52","19"
"08/27/2001","41","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","41",".","31","25"
"08/28/2001","33","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","18","25",".","33","15"
"08/29/2001","40","PM2.5","CAMAS CITY HALL, 616 NE 4TH AVE, CAMAS, WA","53-011-0020","AQS","18","31","17","40","19"
"08/30/2001","43","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","20","43",".","43","20"
"08/31/2001","32","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","16","32",".","22","21"
"09/01/2001","26","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","14","26",".","24","19"
"09/02/2001","33","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","13","33",".","30","23"
"09/03/2001","33","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","13","28",".","33","16"
"09/04/2001","31","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","16","28","17","31","16"
"09/05/2001","25","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","14","25",".","24","21"
"09/06/2001","26","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","14","25",".","26","17"
"09/07/2001","29","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","20","29",".","24","19"
"09/08/2001","39","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","26","39",".","36","22"
"09/09/2001","39","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","18","39",".","35","25"
"09/10/2001","47","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","23","32","23","47","24"
"09/11/2001","36","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","20","33",".","36","18"
"09/12/2001","41","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","24","37",".","41","21"
"09/13/2001","45","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","23","42",".","45","23"
"09/14/2001","55","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","25","35",".","55","23"
"09/15/2001","50","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","18","40",".","50","19"
"09/16/2001","33","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","15","33","10","30","13"
"09/17/2001","23","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","13","22",".","23","14"
"09/18/2001","26","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","15","22",".","26","14"
"09/19/2001","137","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","16","27",".","137","25"
"09/20/2001","44","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","28","31",".","44","41"
"09/21/2001","46","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","23","36",".","46","32"
"09/22/2001","39","NO2","Portland - SE Lafayette","41-051-0080","AQS","31","35","20","35","39"
"09/23/2001","53","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","25","51",".","53","47"
"09/24/2001","55","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","25","30",".","55","43"
"09/25/2001","29","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","19","19","10","29","17"
"09/26/2001","26","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","17","26",".","24","24"
"09/27/2001","41","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","16","19",".","41","25"
"09/28/2001","41","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","26","31","18","41","27"
"09/29/2001","36","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","26","29",".","36","31"
"09/30/2001","47","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","22","40",".","47","23"
"10/01/2001","52","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","25",".","19","52","."
"10/02/2001","49","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","26",".",".","49","."
"10/03/2001","47","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","24",".",".","47","."
"10/04/2001","42","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","22",".","42","42","."
"10/05/2001","55","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","24",".",".","55","."
"10/06/2001","39","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","23",".",".","39","."
"10/07/2001","68","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","23",".","24","68","."
"10/08/2001","39","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","23",".",".","39","."
"10/09/2001","49","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","43",".",".","49","."
"10/10/2001","51","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","43",".","18","51","."
"10/11/2001","45","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","38",".",".","45","."
"10/12/2001","38","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","35",".",".","38","."
"10/13/2001","42","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","25",".","15","42","."
"10/14/2001","33","CO","","53-011-0010","AQS","33",".",".","32","."
"10/15/2001","43","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","33",".",".","43","."
"10/16/2001","60","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","26",".","26","60","."
"10/17/2001","57","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","27",".",".","57","."
"10/18/2001","84","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","33",".",".","84","."
"10/19/2001","68","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","40",".","23","68","."
"10/20/2001","55","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","26",".",".","55","."
"10/21/2001","72","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","25",".",".","72","."
"10/22/2001","186","CO","","41-051-0078","AQS","186",".","13","35","."
"10/23/2001","128","CO","","41-051-0078","AQS","128",".",".","48","."
"10/24/2001","76","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","34",".",".","76","."
"10/25/2001","58","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","42",".","23","58","."
"10/26/2001","78","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","45",".",".","78","."
"10/27/2001","66","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","34",".",".","66","."
"10/28/2001","75","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","23",".","22","75","."
"10/29/2001","82","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","33",".",".","82","."
"10/30/2001","37","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","26",".",".","37","."
"10/31/2001","42","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","20",".","11","42","."
"11/01/2001","61","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","25",".",".","61","."
