"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"05/27/2009","47","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","47","3",".","24","8"
"05/28/2009","40","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","6","40","4","13","30","16"
"05/29/2009","74","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","74","4",".","29","21"
"05/30/2009","50","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","7","50","3",".","28","18"
"05/31/2009","54","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","8","54","3","15","33","13"
"06/01/2009","44","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","8","43","3",".","44","17"
"06/02/2009","44","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","7","30","4",".","44","20"
"06/03/2009","45","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","7","44","4","19","45","21"
"06/04/2009","47","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","7","41","6",".","47","23"
"06/05/2009","25","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","11","23","1",".","25","8"
"06/06/2009","29","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","7","29","1","4","15","6"
"06/07/2009","33","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","7","33","1",".","32","8"
"06/08/2009","49","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","8","41","3",".","49","27"
"06/09/2009","49","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","8","44","1","15","49","14"
"06/10/2009","46","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","9","28","1",".","46","13"
"06/11/2009","38","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","9","35","1",".","38","8"
"06/12/2009","46","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","9","37","3","15","46","16"
"06/13/2009","48","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","7","31","1",".","48","8"
"06/14/2009","40","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","7","30","1",".","40","11"
"06/15/2009","35","PM2.5","","41-071-1002","AQS","6","31","1","9","35","7"
"06/16/2009","33","Ozone","Sherwood  -  Lasich and Roy Rogers (SLR)","41-067-1004","AQS","8","33","4",".","27","16"
"06/17/2009","30","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","7","30","1",".","26","."
"06/18/2009","34","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","7","34","1","8","17","."
"06/19/2009","24","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","8","24","1",".","15","."
"06/20/2009","26","Ozone","Sherwood  -  Lasich and Roy Rogers (SLR)","41-067-1004","AQS","7","26","1",".","21","."
"06/21/2009","29","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","6","29","1","7","17","."
"06/22/2009","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","31","1",".","20","."
"06/23/2009","40","Ozone","Sherwood  -  Lasich and Roy Rogers (SLR)","41-067-1004","AQS","7","40","3",".","25","."
"06/24/2009","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","8","31","3","10","26","."
"06/25/2009","26","Ozone","Sherwood  -  Lasich and Roy Rogers (SLR)","41-067-1004","AQS","7","26","1",".","15","."
"06/26/2009","30","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","7","30","1",".","28","."
"06/27/2009","43","Ozone","Sherwood  -  Lasich and Roy Rogers (SLR)","41-067-1004","AQS","5","43","3","11","37","."
"06/28/2009","32","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","32","3",".","22","."
"06/29/2009","35","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","35","3",".","33","."
"06/30/2009","40","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","7","40","1","15","28","."
"07/01/2009","50","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","50","3",".","30","."
"07/02/2009","112","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","8","112","3",".","40","."
"07/03/2009","126","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","126","3","17","54","."
"07/04/2009","74","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","7","74","13",".","71","."
"07/05/2009","63","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","39","6",".","63","."
"07/06/2009","31","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","7","28","1","12","31","."
"07/07/2009","27","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","8","27","1",".","25","8"
"07/08/2009","26","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","11","26","3",".","24","20"
"07/09/2009","34","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","8","32","1","11","34","."
"07/10/2009","44","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","13","44","3",".","37","12"
"07/11/2009","45","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","11","40","1",".","45","8"
"07/12/2009","33","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","7","22","1","9","33","6"
