STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00090430,ATHENS GA US,18580713,83,63,-9999
GHCND:USC00090430,ATHENS GA US,18580714,83,63,-9999
GHCND:USC00090430,ATHENS GA US,18580715,85,63,-9999
GHCND:USC00090430,ATHENS GA US,18580716,87,63,-9999
GHCND:USC00090430,ATHENS GA US,18580717,88,69,-9999
GHCND:USC00090430,ATHENS GA US,18580718,85,69,-9999
GHCND:USC00090430,ATHENS GA US,18580719,85,70,-9999
GHCND:USC00090430,ATHENS GA US,18580720,86,71,-9999
GHCND:USC00090430,ATHENS GA US,18580721,91,71,-9999
GHCND:USC00090430,ATHENS GA US,18580722,90,71,-9999
GHCND:USC00090430,ATHENS GA US,18580723,90,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580724,84,71,-9999
GHCND:USC00090430,ATHENS GA US,18580725,84,70,-9999
GHCND:USC00090430,ATHENS GA US,18580726,85,64,-9999
GHCND:USC00090430,ATHENS GA US,18580727,76,62,-9999
GHCND:USC00090430,ATHENS GA US,18580728,89,63,-9999
GHCND:USC00090430,ATHENS GA US,18580729,91,67,-9999
GHCND:USC00090430,ATHENS GA US,18580730,91,68,-9999
GHCND:USC00090430,ATHENS GA US,18580731,91,67,-9999
GHCND:USC00090430,ATHENS GA US,18580801,92,66,-9999
GHCND:USC00090430,ATHENS GA US,18580802,92,67,-9999
GHCND:USC00090430,ATHENS GA US,18580803,94,69,-9999
GHCND:USC00090430,ATHENS GA US,18580804,94,69,-9999
GHCND:USC00090430,ATHENS GA US,18580805,92,69,-9999
GHCND:USC00090430,ATHENS GA US,18580806,91,69,-9999
GHCND:USC00090430,ATHENS GA US,18580807,95,69,-9999
GHCND:USC00090430,ATHENS GA US,18580808,94,70,-9999
GHCND:USC00090430,ATHENS GA US,18580809,90,70,-9999
GHCND:USC00090430,ATHENS GA US,18580810,87,69,-9999
GHCND:USC00090430,ATHENS GA US,18580811,92,67,-9999
GHCND:USC00090430,ATHENS GA US,18580812,95,69,-9999
GHCND:USC00090430,ATHENS GA US,18580813,89,69,-9999
GHCND:USC00090430,ATHENS GA US,18580814,88,68,-9999
GHCND:USC00090430,ATHENS GA US,18580815,89,68,-9999
GHCND:USC00090430,ATHENS GA US,18580816,88,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580817,88,68,-9999
GHCND:USC00090430,ATHENS GA US,18580818,87,69,-9999
GHCND:USC00090430,ATHENS GA US,18580819,87,68,-9999
GHCND:USC00090430,ATHENS GA US,18580820,88,66,-9999
GHCND:USC00090430,ATHENS GA US,18580821,89,65,-9999
GHCND:USC00090430,ATHENS GA US,18580822,91,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580823,82,71,-9999
GHCND:USC00090430,ATHENS GA US,18580824,78,62,-9999
GHCND:USC00090430,ATHENS GA US,18580825,80,62,-9999
GHCND:USC00090430,ATHENS GA US,18580826,84,68,-9999
GHCND:USC00090430,ATHENS GA US,18580827,83,69,-9999
GHCND:USC00090430,ATHENS GA US,18580828,85,68,-9999
GHCND:USC00090430,ATHENS GA US,18580829,87,62,-9999
GHCND:USC00090430,ATHENS GA US,18580830,83,56,-9999
GHCND:USC00090430,ATHENS GA US,18580831,82,57,-9999
GHCND:USC00090430,ATHENS GA US,18580901,85,58,-9999
GHCND:USC00090430,ATHENS GA US,18580902,89,60,-9999
GHCND:USC00090430,ATHENS GA US,18580903,91,65,-9999
GHCND:USC00090430,ATHENS GA US,18580904,81,67,-9999
GHCND:USC00090430,ATHENS GA US,18580905,83,63,-9999
GHCND:USC00090430,ATHENS GA US,18580906,85,63,-9999
GHCND:USC00090430,ATHENS GA US,18580907,85,68,-9999
GHCND:USC00090430,ATHENS GA US,18580908,79,69,-9999
GHCND:USC00090430,ATHENS GA US,18580909,78,69,-9999
GHCND:USC00090430,ATHENS GA US,18580910,83,69,-9999
GHCND:USC00090430,ATHENS GA US,18580911,81,67,-9999
GHCND:USC00090430,ATHENS GA US,18580912,81,62,-9999
GHCND:USC00090430,ATHENS GA US,18580913,80,58,-9999
GHCND:USC00090430,ATHENS GA US,18580914,75,64,-9999
GHCND:USC00090430,ATHENS GA US,18580915,67,61,-9999
GHCND:USC00090430,ATHENS GA US,18580916,74,60,-9999
GHCND:USC00090430,ATHENS GA US,18580917,71,49,-9999
GHCND:USC00090430,ATHENS GA US,18580918,74,49,-9999
GHCND:USC00090430,ATHENS GA US,18580919,77,52,-9999
GHCND:USC00090430,ATHENS GA US,18580921,85,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580922,85,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580923,-9999,60,-9999
GHCND:USC00090430,ATHENS GA US,18580924,-9999,58,-9999
GHCND:USC00090430,ATHENS GA US,18580925,85,58,-9999
GHCND:USC00090430,ATHENS GA US,18580926,69,62,-9999
GHCND:USC00090430,ATHENS GA US,18580927,70,56,-9999
GHCND:USC00090430,ATHENS GA US,18580928,69,47,-9999
GHCND:USC00090430,ATHENS GA US,18580929,75,46,-9999
GHCND:USC00090430,ATHENS GA US,18580930,87,51,-9999
GHCND:USC00090430,ATHENS GA US,18581001,86,53,-9999
GHCND:USC00090430,ATHENS GA US,18581002,83,64,-9999
GHCND:USC00090430,ATHENS GA US,18581003,-9999,61,-9999
GHCND:USC00090430,ATHENS GA US,18581004,83,60,-9999
GHCND:USC00090430,ATHENS GA US,18581005,85,60,-9999
GHCND:USC00090430,ATHENS GA US,18581006,87,63,-9999
