STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USC00203858,"HOLLAND, MI US",12/3/1905,1.3,38,-2.2,-10.6
USC00203858,"HOLLAND, MI US",12/4/1905,2.5,38,-2.8,-13.9
USC00203858,"HOLLAND, MI US",12/5/1905,1.3,13,1.7,-6.7
USC00203858,"HOLLAND, MI US",12/6/1905,0,0,3.9,-4.4
USC00203858,"HOLLAND, MI US",12/7/1905,0,0,5.6,2.2
USC00203858,"HOLLAND, MI US",12/8/1905,0,0,2.2,0
USC00203858,"HOLLAND, MI US",12/9/1905,0.8,0,0.6,-0.6
USC00203858,"HOLLAND, MI US",12/10/1905,0,0,2.2,-4.4
USC00203858,"HOLLAND, MI US",12/11/1905,0,0,12.8,0.6
USC00203858,"HOLLAND, MI US",12/12/1905,0,0,1.7,-3.9
USC00203858,"HOLLAND, MI US",12/13/1905,0,0,1.7,-3.3
USC00203858,"HOLLAND, MI US",12/14/1905,0,0,-3.3,-11.7
USC00203858,"HOLLAND, MI US",12/15/1905,0,0,-5,-9.4
USC00203858,"HOLLAND, MI US",12/16/1905,0,0,-3.3,-11.1
USC00203858,"HOLLAND, MI US",12/17/1905,0,0,1.7,-5
USC00203858,"HOLLAND, MI US",12/18/1905,0,0,1.7,1.1
USC00203858,"HOLLAND, MI US",12/19/1905,0,0,1.1,0
USC00203858,"HOLLAND, MI US",12/20/1905,0,0,2.8,-1.1
USC00203858,"HOLLAND, MI US",12/21/1905,22.6,25,2.8,0
USC00203858,"HOLLAND, MI US",12/22/1905,0,0,0.6,0
USC00203858,"HOLLAND, MI US",12/23/1905,0,0,0,-6.1
USC00203858,"HOLLAND, MI US",12/24/1905,0,0,-5,-6.7
USC00203858,"HOLLAND, MI US",12/25/1905,0,0,-4.4,-5
USC00203858,"HOLLAND, MI US",12/26/1905,0,0,4.4,-4.4
USC00203858,"HOLLAND, MI US",12/27/1905,0,0,3.9,0.6
USC00203858,"HOLLAND, MI US",12/28/1905,5.3,0,2.8,1.1
USC00203858,"HOLLAND, MI US",12/29/1905,12.2,0,1.1,-1.7
USC00203858,"HOLLAND, MI US",12/30/1905,0,0,0,-5.6
USC00203858,"HOLLAND, MI US",12/31/1905,0,0,-2.8,-3.9
USC00203858,"HOLLAND, MI US",1/1/1906,0,0,-0.6,-5
USC00203858,"HOLLAND, MI US",1/2/1906,0,0,0.6,-2.8
USC00203858,"HOLLAND, MI US",1/3/1906,4.6,0,3.3,0
USC00203858,"HOLLAND, MI US",1/4/1906,6.4,64,2.8,-2.8
USC00203858,"HOLLAND, MI US",1/5/1906,1.3,13,1.7,-3.9
USC00203858,"HOLLAND, MI US",1/6/1906,0,0,1.1,-7.8
USC00203858,"HOLLAND, MI US",1/7/1906,0,0,-2.2,-9.4
USC00203858,"HOLLAND, MI US",1/8/1906,0,0,-6.1,-11.1
USC00203858,"HOLLAND, MI US",1/9/1906,0,0,0,-6.1
USC00203858,"HOLLAND, MI US",1/10/1906,0,0,1.7,-1.1
USC00203858,"HOLLAND, MI US",1/11/1906,0,0,1.7,-2.2
USC00203858,"HOLLAND, MI US",1/12/1906,0,0,1.7,-2.2
USC00203858,"HOLLAND, MI US",1/13/1906,0,0,1.1,-3.9
USC00203858,"HOLLAND, MI US",1/14/1906,0,0,1.7,0
USC00203858,"HOLLAND, MI US",1/15/1906,7.1,0,2.2,1.1
USC00203858,"HOLLAND, MI US",1/16/1906,2.8,25,1.7,-10.6
USC00203858,"HOLLAND, MI US",1/17/1906,2.5,25,-1.1,-6.7
USC00203858,"HOLLAND, MI US",1/18/1906,0.8,13,-0.6,-1.7
USC00203858,"HOLLAND, MI US",1/19/1906,0,0,0.6,-2.2
USC00203858,"HOLLAND, MI US",1/20/1906,3,0,17.8,0
USC00203858,"HOLLAND, MI US",1/21/1906,17.8,0,16.7,3.3
USC00203858,"HOLLAND, MI US",1/22/1906,23.9,0,3.3,-1.1
USC00203858,"HOLLAND, MI US",1/23/1906,9.1,0,-0.6,-3.9
USC00203858,"HOLLAND, MI US",1/24/1906,0,0,-1.1,-5.6
USC00203858,"HOLLAND, MI US",1/25/1906,0,0,0.6,-4.4
USC00203858,"HOLLAND, MI US",1/26/1906,0,0,0.6,-5
USC00203858,"HOLLAND, MI US",1/27/1906,0,0,1.1,-1.1
USC00203858,"HOLLAND, MI US",1/28/1906,0,0,1.1,-0.6
USC00203858,"HOLLAND, MI US",1/29/1906,0,0,5.6,-2.2
USC00203858,"HOLLAND, MI US",1/30/1906,0,0,5.6,-2.2
USC00203858,"HOLLAND, MI US",1/31/1906,0,0,5.6,-6.1
USC00203858,"HOLLAND, MI US",2/1/1906,7.6,76,-12.8,-13.3
USC00203858,"HOLLAND, MI US",2/2/1906,2.5,25,-11.7,-16.1
USC00203858,"HOLLAND, MI US",2/3/1906,0,0,1.7,-11.1
USC00203858,"HOLLAND, MI US",2/4/1906,1.3,13,3.3,-11.1
USC00203858,"HOLLAND, MI US",2/5/1906,0,0,-11.1,-20.6
USC00203858,"HOLLAND, MI US",2/6/1906,0,0,-11.7,-23.3
USC00203858,"HOLLAND, MI US",2/7/1906,0,0,-7.8,-23.9
USC00203858,"HOLLAND, MI US",2/8/1906,0,0,-0.6,-11.7
USC00203858,"HOLLAND, MI US",2/9/1906,0,0,3.3,-11.1
USC00203858,"HOLLAND, MI US",2/10/1906,0,0,-1.7,-11.1
USC00203858,"HOLLAND, MI US",2/11/1906,0,0,2.2,-17.2
USC00203858,"HOLLAND, MI US",2/12/1906,0,0,10,-1.1
USC00203858,"HOLLAND, MI US",2/13/1906,10.4,0,7.8,-1.1
USC00203858,"HOLLAND, MI US",2/14/1906,1.3,13,0,-15.6
USC00203858,"HOLLAND, MI US",2/15/1906,0,0,-5.6,-18.3
USC00203858,"HOLLAND, MI US",2/16/1906,0,0,0,-11.7
USC00203858,"HOLLAND, MI US",2/17/1906,0,0,2.2,-10.6
USC00203858,"HOLLAND, MI US",2/18/1906,0,0,2.8,-2.2
USC00203858,"HOLLAND, MI US",2/19/1906,0,0,8.9,-0.6
USC00203858,"HOLLAND, MI US",2/20/1906,17.8,0,16.1,5.6
USC00203858,"HOLLAND, MI US",2/21/1906,6.4,0,10,-1.1
USC00203858,"HOLLAND, MI US",2/22/1906,0,0,8.3,-4.4
USC00203858,"HOLLAND, MI US",2/23/1906,0,0,12.2,-2.8
USC00203858,"HOLLAND, MI US",2/24/1906,30,0,11.7,1.7
USC00203858,"HOLLAND, MI US",2/25/1906,0.5,0,15.6,-1.7
USC00203858,"HOLLAND, MI US",2/26/1906,0,0,1.1,-3.9
USC00203858,"HOLLAND, MI US",2/27/1906,0,0,-0.6,-8.9
USC00203858,"HOLLAND, MI US",2/28/1906,0,0,-1.7,-8.9
USC00203858,"HOLLAND, MI US",3/1/1906,0,0,10,-2.8
USC00203858,"HOLLAND, MI US",3/2/1906,17,0,6.1,-0.6
USC00203858,"HOLLAND, MI US",3/3/1906,3,0,7.8,0.6
USC00203858,"HOLLAND, MI US",3/4/1906,0,0,7.2,-3.9
USC00203858,"HOLLAND, MI US",3/5/1906,0,0,2.2,-6.7
USC00203858,"HOLLAND, MI US",3/6/1906,0,0,2.8,-5.6
USC00203858,"HOLLAND, MI US",3/7/1906,0,0,5,-1.1
USC00203858,"HOLLAND, MI US",3/8/1906,0,0,5,0.6
USC00203858,"HOLLAND, MI US",3/9/1906,2.5,25,6.7,-2.2
USC00203858,"HOLLAND, MI US",3/10/1906,0,0,6.7,-1.7
