STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2
USW00014745,"CONCORD ASOS, NH US",8/5/1939,,,,,28.9,12.2,
USW00014745,"CONCORD ASOS, NH US",8/6/1939,,,,,31.1,11.1,
USW00014745,"CONCORD ASOS, NH US",8/7/1939,,,,,30.6,16.7,
USW00014745,"CONCORD ASOS, NH US",8/8/1939,3.8,,,,31.7,12.8,
USW00014745,"CONCORD ASOS, NH US",8/9/1939,0,,,,31.1,17.2,
USW00014745,"CONCORD ASOS, NH US",8/10/1939,,,,,30.6,13.3,
USW00014745,"CONCORD ASOS, NH US",8/11/1939,,,,,31.1,11.1,
USW00014745,"CONCORD ASOS, NH US",8/12/1939,,,,,32.2,11.7,
USW00014745,"CONCORD ASOS, NH US",8/13/1939,12.2,,,,28.3,17.2,
USW00014745,"CONCORD ASOS, NH US",8/14/1939,,,,,30,16.1,
USW00014745,"CONCORD ASOS, NH US",8/15/1939,,,,,31.1,14.4,
USW00014745,"CONCORD ASOS, NH US",8/16/1939,1.3,,,,33.3,15,
USW00014745,"CONCORD ASOS, NH US",8/17/1939,,,,,31.7,13.9,
USW00014745,"CONCORD ASOS, NH US",8/18/1939,,,,,31.7,12.8,
USW00014745,"CONCORD ASOS, NH US",8/19/1939,,,,,27.2,17.2,
USW00014745,"CONCORD ASOS, NH US",8/20/1939,41.7,,,,20.6,16.7,
USW00014745,"CONCORD ASOS, NH US",8/21/1939,44.2,,,,30,18.3,
USW00014745,"CONCORD ASOS, NH US",8/22/1939,,,,,32.2,16.7,
USW00014745,"CONCORD ASOS, NH US",8/23/1939,,,,,30.6,13.9,
USW00014745,"CONCORD ASOS, NH US",8/24/1939,,,,,30.6,16.7,
USW00014745,"CONCORD ASOS, NH US",8/25/1939,5.8,,,,26.1,5,
USW00014745,"CONCORD ASOS, NH US",8/26/1939,,,,,28.9,13.9,
USW00014745,"CONCORD ASOS, NH US",8/27/1939,,,,,26.1,11.1,
USW00014745,"CONCORD ASOS, NH US",8/28/1939,,,,,27.8,10,
USW00014745,"CONCORD ASOS, NH US",8/29/1939,0,,,,25.6,9.4,
USW00014745,"CONCORD ASOS, NH US",8/30/1939,0,,,,24.4,12.8,
USW00014745,"CONCORD ASOS, NH US",8/31/1939,0,,,,20.6,12.8,
USW00014745,"CONCORD ASOS, NH US",9/1/1939,0,,,,26.1,10,
USW00014745,"CONCORD ASOS, NH US",9/2/1939,,,,,29.4,12.2,
USW00014745,"CONCORD ASOS, NH US",9/3/1939,,,,,23.9,17.2,
USW00014745,"CONCORD ASOS, NH US",9/4/1939,,,,,28.9,10,
USW00014745,"CONCORD ASOS, NH US",9/5/1939,3.3,,,,22.2,,
