STATION,STATION_NAME,DATE,PRCPA,TMAXA,TMINA
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140508,8.4,21.1,7.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140509,4.1,21.1,6.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140510,0,22.2,8.9
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140511,0,21.1,10
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140512,0,22.2,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140513,0,25.6,8.9
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140514,4.6,22.2,11.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140515,0,21.1,6.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140516,0,21.1,3.3
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140517,0,22.2,3.3
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140518,0,20,3.3
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140519,0,22.2,3.3
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140520,0,25.6,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140521,0,27.2,7.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140522,0,28.3,6.1
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140523,0,23.3,12.2
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140524,1.5,24.4,10.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140525,4.3,15.6,7.2
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140526,0.8,21.1,8.3
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140527,14,17.8,8.9
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140528,0,21.1,0.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140529,0,23.3,1.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140530,0,23.3,3.3
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140531,0,25.6,8.9
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140601,0,26.7,7.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140602,0,23.3,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140603,0.3,17.8,7.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140604,0,18.3,2.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140605,0,18.3,4.4
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140606,0,22.2,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140607,12.4,16.7,3.9
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140608,12.7,14.4,8.9
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140609,0,21.1,8.9
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140610,0,22.2,7.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140611,0,25.6,8.3
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140612,0,23.3,11.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140613,0,23.3,8.9
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140614,0,27.8,6.7
