STATION,STATION_NAME,DATE,PRCP
GHCND:USC00444128,HOT SPRINGS VA US,18960720,2.8
GHCND:USC00444128,HOT SPRINGS VA US,18960721,2
GHCND:USC00444128,HOT SPRINGS VA US,18960722,10.2
GHCND:USC00444128,HOT SPRINGS VA US,18960723,0
GHCND:USC00444128,HOT SPRINGS VA US,18960724,7.9
GHCND:USC00444128,HOT SPRINGS VA US,18960725,0
GHCND:USC00444128,HOT SPRINGS VA US,18960726,2.3
GHCND:USC00444128,HOT SPRINGS VA US,18960727,0
GHCND:USC00444128,HOT SPRINGS VA US,18960728,0
GHCND:USC00444128,HOT SPRINGS VA US,18960729,0
GHCND:USC00444128,HOT SPRINGS VA US,18960730,0
GHCND:USC00444128,HOT SPRINGS VA US,18960731,0
GHCND:USC00444128,HOT SPRINGS VA US,18960802,24.9
GHCND:USC00444128,HOT SPRINGS VA US,18960803,3.8
GHCND:USC00444128,HOT SPRINGS VA US,18960810,16.5
GHCND:USC00444128,HOT SPRINGS VA US,18960813,6.9
GHCND:USC00444128,HOT SPRINGS VA US,18960815,2.3
GHCND:USC00444128,HOT SPRINGS VA US,18960816,8.4
GHCND:USC00444128,HOT SPRINGS VA US,18960821,22.1
GHCND:USC00444128,HOT SPRINGS VA US,18960822,2
GHCND:USC00444128,HOT SPRINGS VA US,18960823,3.3
GHCND:USC00444128,HOT SPRINGS VA US,18960824,15.5
GHCND:USC00444128,HOT SPRINGS VA US,18960903,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18960905,3.3
GHCND:USC00444128,HOT SPRINGS VA US,18960906,1.5
GHCND:USC00444128,HOT SPRINGS VA US,18960915,13
GHCND:USC00444128,HOT SPRINGS VA US,18960919,7.9
GHCND:USC00444128,HOT SPRINGS VA US,18960929,124.5
GHCND:USC00444128,HOT SPRINGS VA US,18960930,11.7
GHCND:USC00444128,HOT SPRINGS VA US,18961015,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18961024,2.3
GHCND:USC00444128,HOT SPRINGS VA US,18961031,4.6
GHCND:USC00444128,HOT SPRINGS VA US,18961104,63.5
GHCND:USC00444128,HOT SPRINGS VA US,18961111,6.6
GHCND:USC00444128,HOT SPRINGS VA US,18961112,6.1
GHCND:USC00444128,HOT SPRINGS VA US,18961113,0
GHCND:USC00444128,HOT SPRINGS VA US,18961120,8.6
GHCND:USC00444128,HOT SPRINGS VA US,18961121,1.5
GHCND:USC00444128,HOT SPRINGS VA US,18961123,0
GHCND:USC00444128,HOT SPRINGS VA US,18961124,0
GHCND:USC00444128,HOT SPRINGS VA US,18961128,17.8
GHCND:USC00444128,HOT SPRINGS VA US,18961129,21.8
GHCND:USC00444128,HOT SPRINGS VA US,18961130,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18961209,4.8
GHCND:USC00444128,HOT SPRINGS VA US,18961215,0
GHCND:USC00444128,HOT SPRINGS VA US,18961216,0
GHCND:USC00444128,HOT SPRINGS VA US,18961218,0
GHCND:USC00444128,HOT SPRINGS VA US,18961221,0
GHCND:USC00444128,HOT SPRINGS VA US,18970104,18.3
GHCND:USC00444128,HOT SPRINGS VA US,18970105,0
GHCND:USC00444128,HOT SPRINGS VA US,18970111,0
GHCND:USC00444128,HOT SPRINGS VA US,18970112,2.5
GHCND:USC00444128,HOT SPRINGS VA US,18970113,1.3
