Sample Name,Park,Replicate,Analyte,Mass,Concentration
27,C,4,In,115,0
27,C,4,Ba,137,0.238
27,C,4,Tb,159,0
27,C,4,Lu,175,0
27,C,4,Pb,206,0.009
27,C,4,Pb,207,0.007
27,C,4,Pb,208,0.018
27,C,4,Bi,209,0
28,G,5,Li,6,0
28,G,5,Sc,45,0
28,G,5,Cr,52,0.02
28,G,5,Ge,72,0
28,G,5,As,75,-40.168
28,G,5,Se,78,0
28,G,5,Rh,103,0
28,G,5,Ag,107,0.001
28,G,5,In,115,0
28,G,5,Ba,137,0.243
28,G,5,Tb,159,0
28,G,5,Lu,175,0
28,G,5,Pb,206,0.012
28,G,5,Pb,207,0.01
28,G,5,Pb,208,0.025
28,G,5,Bi,209,0
29,G,1,Li,6,0
29,G,1,Sc,45,0
29,G,1,Cr,52,0.02
29,G,1,Ge,72,0
29,G,1,As,75,-40.591
29,G,1,Se,78,0
29,G,1,Rh,103,0
29,G,1,Ag,107,0.001
29,G,1,In,115,0
29,G,1,Ba,137,0.155
29,G,1,Tb,159,0
29,G,1,Lu,175,0
29,G,1,Pb,206,0.018
29,G,1,Pb,207,0.014
29,G,1,Pb,208,0.034
29,G,1,Bi,209,0
30,G,2,Li,6,0
30,G,2,Sc,45,0
30,G,2,Cr,52,0.023
30,G,2,Ge,72,0
30,G,2,As,75,-39.675
30,G,2,Se,78,0
30,G,2,Rh,103,0
30,G,2,Ag,107,0.001
30,G,2,In,115,0
30,G,2,Ba,137,0.155
30,G,2,Tb,159,0
30,G,2,Lu,175,0
30,G,2,Pb,206,0.015
30,G,2,Pb,207,0.012
30,G,2,Pb,208,0.031
30,G,2,Bi,209,0
