Sample Name,Date and Time Acquired,Dilution Factor,Data File Name,Batch Name,Data Path,Operator,Instrument Name,Misc. Info or Comment,Sample Weihgt or Volume,Final Weight or Volume,Dilution Multiplier,Tune Step,Analyte,Element Full Name,Mass,ISTD Ref Mass,Concentration,Conc RSD,Min Conc,CPS Mean,CPS Rep1,CPS Rep2,CPS Rep3,Conc Rep1,Conc Rep2,Conc Rep3,CPS RSD,Units
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Bi,bismuth,209,,,,0.000,2150914.45,2330520.12,2094213.09,2028010.13,,,,7.4,
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Li,lithium,6,,,,0.000,30897.57,27646.63,27406.69,37639.39,,,,18.9,
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Sc,scandium,45,,,,0.000,1112854.31,936052.49,1052790.30,1349720.14,,,,19.2,
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Cr,chromium,52,45,1.170,23.1,0.000,1861095.02,1983736.53,1778755.13,1820793.41,1.450,1.150,0.911,5.8,ppm
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ge,germanium,72,,,,0.000,362024.64,312498.12,333613.63,439962.18,,,,18.9,
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,As,arsenic,75,72,,,0.000,19787.55,19984.53,19243.42,20134.71,,,,2.4,ppm
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Se,selenium,78,72,1.116,30.9,0.000,112020.12,132062.70,100701.91,103295.74,1.488,1.051,0.808,15.5,ppm
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Rh,rhodium,103,,,,0.000,1526875.40,1287830.45,1387738.89,1905056.85,,,,21.7,
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ag,silver,107,103,1.347,27.6,0.000,1355192.37,1514798.73,1279629.82,1271148.57,1.719,1.347,0.975,10.2,ppm
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,In,indium,115,,,,0.000,2250953.82,1948231.69,2096644.19,2707985.58,,,,17.9,
