Stock,Site,Treatment,Pretreatment,Error,N,Delta,Error,N
Soil Stocks Site,Ca-S,Prescribed Fire,NA,NA,NA,NA,NA,NA
Soil Stocks Site,Ca-S,Mechanical,NA,NA,NA,NA,NA,NA
Soil Stocks Site,Ca-S,Mechanical+Fire,NA,NA,NA,NA,NA,NA
Soil Stocks Site,OR,Control,62.57,8.29,4,-8.04,6.6,4
Soil Stocks Site,OR,Prescribed Fire,65.86,8.18,4,6.42,3.33,4
Soil Stocks Site,OR,Mechanical,70.78,5.48,4,4.3,11.34,4
Soil Stocks Site,OR,Mechanical+Fire,63.52,5.01,4,13.62,3.42,4
Soil Stocks Site,MT,Control,31.82,4.39,3,37.45,8.25,3
Soil Stocks Site,MT,Prescribed Fire,46.7,7.64,3,6.41,6.02,3
Soil Stocks Site,MT,Mechanical,38.84,6.69,3,16.32,9.68,3
Soil Stocks Site,MT,Mechanical+Fire,55.29,16.59,3,3.71,9.16,3
Soil Stocks Site,AZ,Control,61.74,3.3,3,10.05,7.13,3
Soil Stocks Site,AZ,Prescribed Fire,61.13,8.83,3,28.44,28.23,3
Soil Stocks Site,AZ,Mechanical,73.81,6.4,2,3.34,14.81,2
Soil Stocks Site,AZ,Mechanical+Fire,65,3.17,4,7.77,2.11,4
Soil Stocks Site,AL,Control,39.91,6.31,3,14.61,0.67,3
Soil Stocks Site,AL,Prescribed Fire,46.15,7.78,3,7,1.25,3
Soil Stocks Site,AL,Mechanical,33.7,7.73,3,15.33,6.91,3
Soil Stocks Site,AL,Mechanical+Fire,42.89,13.06,3,9.98,2.95,3
Soil Stocks Site,OH,Control,91.62,4.65,3,6.45,4.09,3
Soil Stocks Site,OH,Prescribed Fire,81.07,5.14,3,16.42,9.76,3
Soil Stocks Site,OH,Mechanical,91.93,11.32,3,6.86,12.21,3
Soil Stocks Site,OH,Mechanical+Fire,82.68,0.15,3,-11.87,6.95,3
Soil Stocks Site,SC,Control,88.21,6.12,3,-26.39,5,3
Soil Stocks Site,SC,Prescribed Fire,74.75,8.65,3,-15.29,2.09,3
Soil Stocks Site,SC,Mechanical,63.18,9.13,3,-13.32,5.89,3
Soil Stocks Site,SC,Mechanical+Fire,70.26,9.81,3,-17.89,3.77,3
Soil Stocks Site,NC,Control,87,13.96,3,18.98,7.57,3
Soil Stocks Site,NC,Prescribed Fire,84.3,2.05,3,0.48,4.51,3
Soil Stocks Site,NC,Mechanical,123.38,1.96,3,-28.88,4.43,3
Soil Stocks Site,NC,Mechanical+Fire,104.46,11.49,3,-16.14,12.95,3
Soil Stocks Site,FL,Control,58.4,NA,1,NA,NA,NA
Soil Stocks Site,FL,Prescribed Fire,38.54,11.51,2,12.52,,1
Soil Stocks Site,FL,Mechanical,57.95,3.08,2,-2.78,13.7,2
Soil Stocks Site,FL,Mechanical+Fire,54.31,7.55,2,-3.51,11.07,2
total,Ca-N,Control,126.77,10.09,3,10.87,1.02,3
total,Ca-N,Prescribed Fire,NA,NA,NA,NA,NA,NA
total,Ca-N,Mechanical,NA,NA,NA,NA,NA,NA
total,Ca-N,Mechanical+Fire,NA,NA,NA,NA,NA,NA
total,WA,Control,207.53,39.41,4,-6.37,50.97,3
total,WA,Prescribed Fire,272.25,12.55,2,21.7,44.8,2
total,WA,Mechanical,193.78,16.59,4,23,24.58,3
total,WA,Mechanical+Fire,258.25,17.75,2,-21.8,4,2
total,Ca-C,Control,327.43,27.87,3,21.43,5.24,3
total,Ca-C,Prescribed Fire,333.33,22.97,3,-67.93,20.67,3
total,Ca-C,Mechanical,390.63,35.39,3,-68.07,31.48,3
total,Ca-C,Mechanical+Fire,389.97,35.4,3,-95.53,28.6,3
total,Ca-S,Control,NA,NA,NA,NA,NA,NA
total,Ca-S,Prescribed Fire,NA,NA,NA,NA,NA,NA
total,Ca-S,Mechanical,NA,NA,NA,NA,NA,NA
total,Ca-S,Mechanical+Fire,NA,NA,NA,NA,NA,NA
total,OR,Control,139.65,18.61,4,-17.6,4.08,3
total,OR,Prescribed Fire,121.05,10.25,4,5.1,1.1,2
total,OR,Mechanical,140.78,11.11,4,-19.18,18.89,4
total,OR,Mechanical+Fire,138.4,21.83,4,-32.52,22.99,3
total,MT,Control,131,18.28,3,34.77,7.66,3
total,MT,Prescribed Fire,136.5,15.52,3,-6.93,8.25,3
total,MT,Mechanical,118.8,9.61,3,5.77,10.74,3
