STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061029,-9999,-9999,-9999,-9999,78,62,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061030,-9999,-9999,-9999,-9999,75,57,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061031,-9999,-9999,-9999,-9999,68,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061101,-9999,-9999,-9999,-9999,78,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061102,-9999,-9999,-9999,-9999,78,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061103,-9999,-9999,-9999,-9999,72,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061104,-9999,-9999,-9999,-9999,68,53,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061105,0.01,-9999,-9999,-9999,69,56,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061106,-9999,-9999,-9999,-9999,72,49,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061107,-9999,-9999,-9999,-9999,83,52,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061108,-9999,-9999,-9999,-9999,77,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061109,-9999,-9999,-9999,-9999,78,52,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061110,-9999,-9999,-9999,-9999,75,48,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061111,-9999,-9999,-9999,-9999,78,50,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061112,-9999,-9999,-9999,-9999,82,52,-9999
