Identification,Latitude,Longitude,Time of Observation,Sea Surface Temperature
ATGM1,44.4,291.8,2015-01-02T12:12:00,4.9
ATGM1,44.4,291.8,2015-01-02T12:18:00,4.9
ATGM1,44.4,291.8,2015-01-02T12:24:00,4.9
ATGM1,44.4,291.8,2015-01-02T12:36:00,4.9
ATGM1,44.4,291.8,2015-01-02T12:42:00,4.9
ATGM1,44.4,291.8,2015-01-02T12:48:00,4.9
ATGM1,44.4,291.8,2015-01-02T12:54:00,4.6
ATGM1,44.4,291.8,2015-01-02T13:00:00,4.4
ATGM1,44.4,291.8,2015-01-02T13:06:00,4.4
ATGM1,44.4,291.8,2015-01-02T13:12:00,4.5
ATGM1,44.4,291.8,2015-01-02T13:18:00,4.4
ATGM1,44.4,291.8,2015-01-02T13:24:00,4.4
ATGM1,44.4,291.8,2015-01-02T13:30:00,4.4
ATGM1,44.4,291.8,2015-01-02T13:36:00,4.5
ATGM1,44.4,291.8,2015-01-02T13:42:00,4.5
ATGM1,44.4,291.8,2015-01-02T13:48:00,4.6
ATGM1,44.4,291.8,2015-01-02T13:54:00,4.7
ATGM1,44.4,291.8,2015-01-02T14:00:00,4.7
ATGM1,44.4,291.8,2015-01-02T14:06:00,4.7
ATGM1,44.4,291.8,2015-01-02T14:12:00,4.7
ATGM1,44.4,291.8,2015-01-02T14:18:00,4.6
ATGM1,44.4,291.8,2015-01-02T14:24:00,4.7
ATGM1,44.4,291.8,2015-01-02T14:30:00,4.7
ATGM1,44.4,291.8,2015-01-02T14:36:00,4.6
ATGM1,44.4,291.8,2015-01-02T14:42:00,4.6
ATGM1,44.4,291.8,2015-01-02T14:48:00,4.6
ATGM1,44.4,291.8,2015-01-02T14:54:00,4.7
ATGM1,44.4,291.8,2015-01-02T15:06:00,4.7
ATGM1,44.4,291.8,2015-01-02T15:12:00,4.7
ATGM1,44.4,291.8,2015-01-02T15:18:00,4.7
ATGM1,44.4,291.8,2015-01-02T15:24:00,4.7
ATGM1,44.4,291.8,2015-01-02T15:30:00,4.7
ATGM1,44.4,291.8,2015-01-02T15:36:00,4.7
ATGM1,44.4,291.8,2015-01-02T15:42:00,4.7
ATGM1,44.4,291.8,2015-01-02T15:48:00,4.7
ATGM1,44.4,291.8,2015-01-02T15:54:00,4.7
ATGM1,44.4,291.8,2015-01-02T16:00:00,4.7
ATGM1,44.4,291.8,2015-01-02T16:06:00,4.7
ATGM1,44.4,291.8,2015-01-02T16:12:00,4.7
ATGM1,44.4,291.8,2015-01-02T16:18:00,4.8
ATGM1,44.4,291.8,2015-01-02T16:24:00,4.8
ATGM1,44.4,291.8,2015-01-02T16:30:00,4.8
