STATION,NAME,DATE,WT01,WT03,WT04,WT05,WT06,WT07,WT08,WT11,WT14
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-02,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-03,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-04,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-05,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-06,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-07,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-08,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-09,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-10,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-11,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-12,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-13,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-14,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-15,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-16,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-17,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-18,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-19,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-20,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-21,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-22,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-23,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-24,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-25,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-26,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-27,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-28,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-29,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-30,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-31,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-01,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-02,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-03,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-04,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-05,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-06,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-07,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-08,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-09,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-10,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-11,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-12,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-13,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-14,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-15,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-16,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-17,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-18,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-19,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-20,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-21,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-22,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-23,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-24,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-25,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-26,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-27,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-28,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-29,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-06-30,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-01,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-02,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-03,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-04,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-05,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-06,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-07,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-08,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-09,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-10,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-11,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-12,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-13,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-14,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-15,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-16,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-17,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-18,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-19,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-20,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-21,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-22,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-23,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-24,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-25,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-26,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-27,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-28,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-29,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-30,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-07-31,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-01,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-02,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-03,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-04,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-05,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-06,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-07,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-08,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-09,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-10,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-11,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-12,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-13,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-14,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-15,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-16,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-17,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-18,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-19,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-20,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-21,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-22,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-08-23,,,,,,,,,
