STATION,STATION_NAME,DATE,TAVG
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19980919,75
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19980920,77
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19980921,78
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19980922,80
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19980923,77
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19980924,73
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19980925,72
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19980926,74
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19980927,78
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19980928,76
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19980929,73
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19980930,73
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981001,76
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981002,69
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981003,70
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981004,75
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981005,77
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981006,71
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981007,75
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981008,61
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981009,60
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981010,63
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981011,66
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981012,67
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981013,68
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981014,64
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981015,65
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981016,66
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981017,65
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981018,68
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981019,73
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981020,66
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981021,64
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981022,56
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981023,50
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981024,56
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981025,60
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981026,63
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981027,65
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981028,66
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981029,66
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981030,70
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981031,69
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981101,66
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981102,66
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981103,64
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981104,56
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981105,47
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981106,44
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981107,46
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981108,50
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981109,63
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981110,66
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981111,54
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981112,52
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981113,58
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981114,55
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19981115,61
