STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/3/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/4/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/5/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/6/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/7/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/8/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/9/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/10/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/11/2011,1.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/12/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/13/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/14/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/17/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/18/2011,0,",,N",0,",,N",,,,,,,,
